input,output
Quero uma questão de física sobre eletromagnetismo.,"Em uma usina geradora de energia elétrica, seja através de uma queda-d’água ou através de vapor sob pressão, as pás do gerador são postas a girar. O movimento relativo de um ímã em relação a um conjunto de bobinas produz um fluxo magnético variável através delas, gerando uma diferença de potencial em seus terminais. Durante o funcionamento de um dos geradores, o operador da usina percebeu que houve um aumento inesperado da diferença de potencial elétrico nos terminais das bobinas. Nessa situação, o aumento do módulo da diferença de potencial obtida nos terminais das bobinas resulta do aumento do(a): 
A) intervalo de tempo em que as bobinas ficam imersas no campo magnético externo, por meio de uma diminuição de velocidade no eixo de rotação do gerador. 
B) fluxo magnético através das bobinas, por meio de um aumento em sua área interna exposta ao campo magnético aplicado. 
C) intensidade do campo magnético no qual as bobinas estão imersas, por meio de aplicação de campos magnéticos mais intensos. 
D) rapidez com que o fluxo magnético varia através das bobinas, por meio de um aumento em sua velocidade angular. 
E) resistência interna do condutor que constitui as bobinas, por meio de um aumento na espessura dos terminais."
Me envie uma questão de história do Brasil sobre a Era Vargas.,"As relações do Estado brasileiro com o movimento operário e sindical, bem como as políticas públicas voltadas para as questões sociais durante o primeiro governo da Era Vargas (1930-1945), são temas amplamente estudados pela academia brasileira em seus vários aspectos. São também os temas mais lembrados pela sociedade quando se pensa no legado varguista. 
D'ARAÚJO, M. C. Estado, classe trabalhadora e políticas sociais. In: FERREIRA, J.; DELGADO, L. A. (Org.). O tempo do nacional-estatismo: do início ao apogeu do Estado Novo. Rio de Janeiro: Civilização Brasileira, 2007.
 Durante o governo de Getúlio Vargas, foram desenvolvidas ações de cunho social, dentre as quais se destaca a:
A) implantação de associações civis como uma estratégia para aproximar as classes médias e o governo.
B) criação de um conjunto de leis trabalhistas associadas ao controle das representações sindicais.
C) aprovação de normas que buscavam garantir a posse das terras aos pequenos agricultores.
D) implementação de um sistema de previdência e seguridade para atender aos trabalhadores rurais.
E) disseminação de organizações paramilitares inspiradas nos regimes fascistas europeus."
Quero uma questão de biologia sobre genética.,"Um geneticista observou que determinada plantação era sensível a um tipo de praga que atacava as flores da lavoura. Ao mesmo tempo, ele percebeu que uma erva daninha que crescia associada às plantas não era destruída. A partir de técnicas de manipulação genética, em laboratório, o gene da resistência à praga foi inserido nas plantas cultivadas, resolvendo o problema.
Do ponto de vista da biotecnologia, como essa planta resultante da intervenção é classificada?:
A) Híbrida.
B) Dominante.
C) Clone.
D) Mutante.
E) Transgênica."
Pode gerar uma questão de química sobre pH e soluções?,"Solos ácidos apresentam baixo valor de pH, e o plantio de culturas nesse meio acarreta baixa produção agrícola. Entretanto, esse problema pode ser contornado adicionando-se substâncias que, ao entrarem em contato com a água, liberam íons OH−, que neutralizam os íons H3 O+ presentes no solo e elevam o seu pH. Para esse objetivo, um agricultor tem comercialmente à disposição as espécies químicas enumeradas: 
I – KCl II – MgO III – NH4 Br IV – AlCl3 V – P2 O5 
Para a correção do pH desse solo, o agricultor deverá utilizar a espécie química indicada pelo número:
A) II
B) IV
C) III
D) I
E) V"
Quero uma questão de geografia sobre globalização.,"O mundo entrou na era do globalismo. Todos estão sendo desafiados pelos dilemas e horizontes que se abrem com a formação da sociedade global. Um processo de amplas proporções envolvendo nações e nacionalidades, regimes políticos e projetos nacionais, grupos e classes sociais, economias e sociedades, culturas e civilizações.
IANNI, O. A era do globalismo. Rio de Janeiro: Civilização Brasileira, 1997.
 No texto, é feita referência a um momento do desenvolvimento do capitalismo. A expansão do sistema capitalista de produção nesse momento está fundamentada na:
A) propagação dos meios de comunicação.
B) conservação das partilhas imperialistas europeias.
C) manutenção do papel controlador dos Estados.
D) ampliação dos protecionismos alfandegários.
E) difusão de práticas mercantilistas."
Me dá uma questão de filosofia sobre empirismo.,"TEXTO I
O empirismo moderno foi, em grande parte, condicionado por dois dogmas. Um deles é a crença em certa divisão fundamental entre verdades analíticas, ou fundadas em significados independentemente de questões de fato, e verdades sintéticas, ou fundadas em fatos. O outro
dogma é o reducionismo: a crença de que todo enunciado significativo é equivalente a algum construto lógico sobre termos que se referem à experiência imediata.

QUINE, W. V. O. Dois dogmas do empirismo. In: RYLE, G. et al.
Ensaios. São Paulo: Abril Cultural, 1975.

TEXTO II
Teses: 1. Somente os enunciados que possuem conteúdo factual são teoricamente significativos; enunciados que não podem, em princípio, estar fundamentados pela experiência são carentes de significado. 2. As ciências empíricas usam somente o conteúdo empírico da realidade. 3. A filosofia usa um conceito não empírico da realidade.

CARNAP, R. Pseudoproblemas na filosofia. In: SCHLICK, M.;
CARNAP, R.; POPPER, K. Coletânea de textos.
São Paulo: Abril Cultural, 1975.


Ao comparar os textos, conclui-se que eles apresentam posicionamentos filosóficos divergentes com relação ao:

A) estatuto epistemológico da linguagem.
B) alicerce estruturante da moralidade.
C) conteúdo essencial da metafísica.
D) princípio constitutivo da ontologia.
E) domínio reflexivo da estética."
Gere uma questão de português sobre interpretação de texto.,"A mulher entra no quarto do filho decidida a ter uma conversa séria. De novo, as respostas dele à interpretação do texto na prova sugerem uma grande dificuldade de ler. Dispersão pode ser uma resposta para parte do problema. A extensão do texto pode ser outra, mas nesta ela não vai tocar porque também é professora e não vai lhe dar desculpas para ir mal na escola. Preguiça de ler parece outra forma de lidar com a extensão do texto. Ele está, de novo, no computador, jogando. Levanta os olhos com aquele ar de quem pode jogar e conversar ao mesmo tempo. A mãe lhe pede que interrompa o jogo e ele pede à mãe “só um instante para salvar”. Curiosa, ela olha para a tela e espanta-se com o jogo em japonês. Pergunta-lhe como consegue entender o texto para jogar. Ele lhe fala de alguma coisa parecida com uma “lógica de jogo” e sobre algumas tentativas com os ícones. Diz ainda que conhece a base da história e que, assim, mesmo em japonês, tudo faz sentido. Aquela conversa acabou sendo adiada. A mãe-professora, capturada por outros sentidos de leitura, não se sentia pronta naquele momento. Consciente, suspende a ação.
BARRETO, R. G. Formação de professores, tecnologias e linguagens: mapeando velhos e novos (des)encontros. São Paulo: Loyola, 2002 (adaptado).
 A reação da mãe-professora frente às habilidades da “geração digital” contemporânea reflete o desafio que se tem enfrentado de:
A) superar as dificuldades de leitura geradas pelos jogos de computadores.
B) aplicar as mesmas formas de ler textos impressos a textos digitais.
C) interpretar as várias informações na leitura de textos em multimídia.
D) trabalhar a dificuldade de leitura usando as tecnologias como ferramentas.
E) lidar com as novas práticas de leitura que emergem com a tecnologia."
Quero uma questão de matemática sobre matrizes.,"Uma construtora, pretendendo investir na construção de imóveis em uma metrópole com cinco grandes regiões, fez uma pesquisa sobre a quantidade de famílias que mudaram de uma região para outra, de modo a determinar qual região foi o destino do maior fluxo de famílias, sem levar em consideração o número de famílias que deixaram a região. Os valores da pesquisa estão dispostos em uma matriz A = [a_{ij}], i, j ∈ {1,2,3,4,5}, em que o elemento aij corresponde ao total de famílias (em dezena) que se mudaram da região i para a região j durante um certo período, e o elemento a é considerado nulo, uma vez que somente são consideradas mudanças entre regiões distintas. A seguir, está apresentada a matriz com os dados da pesquisa.

A = \begin{bmatrix}
0 & 4 & 2 & 2 & 5 \\
0 & 0 & 6 & 2 & 3 \\
2 & 2 & 0 & 3 & 0 \\
1 & 0 & 2 & 0 & 4 \\
1 & 2 & 0 & 4 & 0
\end{bmatrix}

Qual região foi selecionada para o investimento da construtora?


A) 1.
B) 2.
C) 3.
D) 4.
E) 5."
Manda uma questão de física sobre termodinâmica.,"Um menino está ajudando sua mãe na cozinha. Ela lhe pede que tire do fogo uma panela que já estava lá há bastante tempo, em fogo baixo, orientando-lhe que tome cuidado para não se queimar, buscando tocar apenas no cabo de madeira, e não na base de metal da panela.
A mãe lhe fez essa recomendação porque o metal, em relação à madeira, apresenta maior:
A) energia interna.
B) condutividade térmica.
C) calor específico.
D) coeficiente de dilatação térmica.
E) temperatura."
Preciso de uma questão de sociologia sobre movimentos sociais.,"Ao longo das três últimas décadas, houve uma explosão de movimentos sociais pelo mundo. Essa diversidade de movimentos — que vão desde os movimentos por direitos civis e os movimentos feministas dos anos de 1960 e 1970, até os movimentos antinucleares e ecológicos dos anos de 1980 e a campanha pelos direitos homossexuais da década de 1990 — é normalmente denominado pelos comentadores do tema como novos movimentos sociais.
GIDDENS, A. Sociologia. Porto Alegre: Artmed, 2005 (adaptado).
Uma explicação para a expansão dos chamados novos movimentos sociais nas últimas três décadas é a:
A) consolidação das corporações transnacionais monopolistas, como petrolíferas e mineradoras.
B) fragilidade das redes globais comunicacionais, como internet e telefonia.
C) instabilidade das instituições políticas democráticas, como eleições e parlamentos.
D) garantia dos direitos sociais constitucionais, como educação e previdência.
E) crise das organizações representativas tradicionais, como partidos e sindicatos."
Me envie uma questão de história sobre a Guerra Fria.,"A Guerra Fria foi, acima de tudo, um produto da heterogeneidade no sistema internacional — para repetir, da heterogeneidade da organização interna e da prática internacional — e somente poderia ser encerrada pela obtenção de uma nova homogeneidade. O resultado disto foi que, enquanto os dois sistemas distintos existiram, o conflito da Guerra Fria estava destinado a continuar: a Guerra Fria não poderia terminar com o compromisso ou a convergência, mas somente com a prevalência de um destes sistemas sobre o outro.
HALLIDAY, F. Repensando as relações internacionais. Porto Alegre: EdUFRGS, 1999.
 A caracterização da Guerra Fria apresentada pelo texto implica interpretá-la como um(a):
A) esforço de homogeneização do sistema internacional negociado entre Estados Unidos e União Soviética.
B) compromisso capitalista de transformar as sociedades homogêneas dos países socialistas em democracias liberais.
C) enfrentamento bélico entre capitalismo e socialismo pela homogeneização social de suas respectivas áreas de influência política.
D) conflito intersistêmico em que países capitalistas e socialistas competiriam até o fim pelo poder de influência em escala mundial.
E) guerra, visando o estabelecimento de um renovado sistema social, híbrido de socialismo e capitalismo."
Quero uma questão de biologia sobre sistema imunológico.,"Em um laboratório, pesquisadores tentavam desenvolver uma vacina contra um vírus que infecta tanto roedores como o homem. Uma das vacinas foi capaz de imunizar 100% dos ratos testados, o que foi considerado um grande sucesso. Entretanto, quatro semanas após, novos experimentos com outras cobaias mostraram que 40% dos animais não sobreviveram a testes para a mesma vacina. Em um terceiro experimento, três meses depois, apenas 15% das novas cobaias sobreviveram aos testes. 
Qual o principal mecanismo envolvido na perda de imunização das cobaias?:
A) Supressão do sistema imune das cobaias.
B) Mudança da janela imunológica dos animais testados.
C) Perda da memória imunológica das cobaias.
D) Elevada taxa de mutação dos vírus ativos.
E) Diminuição da carga viral nas cobaias."
Gera uma questão de química sobre tabela periódica.,"Na mitologia grega, Nióbia era a filha de Tântalo, dois personagens conhecidos pelo sofrimento. O elemento químico de número atômico (Z) igual a 41 tem propriedades químicas e físicas tão parecidas com as do elemento de número atômico 73 que chegaram a ser confundidos. Por isso, em homenagem a esses dois personagens da mitologia grega, foi conferido a esses elementos os nomes de nióbio (Z = 41) e tântalo (Z = 73). Esses dois elementos químicos adquiriram grande importância econômica na metalurgia, na produção de supercondutores e em outras aplicações na indústria de ponta, exatamente pelas propriedades químicas e físicas comuns aos dois.

KEAN, S. A colher que desaparece: e outras histórias reais de loucura, amor e morte a partir dos elementos químicos. Rio de Janeiro: Zahar, 2011 (adaptado).


A importância econômica e tecnológica desses elementos, pela similaridade de suas propriedades químicas e físicas, deve-se a:

A) terem elétrons no subnível f.
B) serem elementos de transição interna.
C) pertencerem ao mesmo grupo na tabela periódica.
D) terem seus elétrons mais externos nos níveis 4 e 5, respectivamente.
E) estarem localizados na família dos alcalinos terrosos e alcalinos, respectivamente."
Quero uma questão de geografia sobre urbanização.,"Pense no crescimento tecnológico de sua cidade nos últimos 10 ou 15 anos e perceberá que, embora ela tenha crescido, a maioria dos novos bairros é moradia de pessoas humildes que, ou foram expulsas da área mais central pelo progresso técnico-científico, ou vieram do campo ou de outras regiões buscando melhores condições de vida, mas agora residem em lugares desprovidos dos serviços básicos.
SOUZA, A. J. Texto e sugestões de atividades para abordar os conceitos de progresso e desenvolvimento. In: Ciência Geográfica, AGB, dez. 1995 (adaptado).
 Com as transformações ocorridas nas áreas rurais e urbanas das cidades pelo advento das tecnologias, as pessoas procuram se beneficiar de novas formas de sobrevivência. Para isso, apropriam-se dos espaços irregularmente. Diante dessa situação, o poder público deve criar políticas capazes de gerar:
A) situações de regularização de seus terrenos, mesmo que em áreas inadequadas.
B) financiamentos para novas construções e acompanhamento dos serviços técnicos.
C) mutirões entre os moradores para o melhoramento estético das moradias populares.
D) locais de moradia dignos e infraestrutura adequada para esses novos moradores.
E) adaptação das moradias para oferecer qualidade de vida às pessoas."
Me dá uma questão de filosofia sobre ética.,"Uma criança com deficiência mental deve ser mantida em casa ou mandada a uma instituição? Um parente mais velho que costuma causar problemas deve ser cuidado ou podemos pedir que vá embora? Um casamento infeliz deve ser prolongado pelo bem das crianças?
MURDOCH, I. A soberania do bem. São Paulo: Unesp, 2013.
 Os questionamentos apresentados no texto possuem uma relevância filosófica à medida que problematizam conflitos que estão nos domínios da:
A) epistemologia e dos limites do conhecimento.
B) teologia e dos valores religiosos.
C) ética e dos padrões de comportamento.
D) política e da esfera pública.
E) lógica e da validade dos raciocínios."
Manda uma questão de português sobre funções da linguagem.,"TEXTO I
Fundamentam-se as regras da Gramática Normativa nas obras dos grandes escritores, em cuja linguagem as classes ilustradas põem o seu ideal de perfeição, porque nela é que se espelha o que o uso idiomático estabilizou e consagrou.

LIMA, C. H. R. Gramática normativa da língua portuguesa, Rio de Janeiro José Olympio, 1989

TEXTO II
Gosto de dizer. Direi melhor: gosto de palavrar. As palavras são para mim corpos tocáveis, sereias visíveis, sensualidades incorporadas. Talvez porque a sensualidade real não tem para mim interesse de nenhuma espécie – nem sequer mental ou de sonho -, transmudou-se-me o desejo para aquilo que em mim Cria ritmos Verbais, ou os escuta de outros. Estremeço se dizem bem. Tal página de Fialho, tal página de Chateaubriand, fazem formigar toda a minha vida em todas as veias, fazem-me raivar tremulamente quieto de um prazer inatingível que estou tendo. Tal página, até, de Vieira, na sua fria perfeição de engenharia sintáctica, me faz tremer como um ramo ao vento, num delírio passivo de coisa movida.

PESSOA, F. O livro do desassossego São Paulo Brasiliense, 1986

A linguagem cumpre diferentes funções no processo de comunicação. A função que predomina nos textos I e II:
A) coloca o foco no “com o quê” se constrói a mensagem, sendo o código utilizado o seu próprio objeto.
B) destaca o “como” se elabora a mensagem, considerando-se a seleção, combinação e sonoridade do texto.
C) enfatiza sobre “o quê” versa a mensagem, apresentada com palavras precisas e objetivas.
D) focaliza o “quem” produz a mensagem, mostrando seu posicionamento e suas impressões pessoais.
E) orienta-se no “para quem” se dirige a mensagem, estimulando a mudança de seu comportamento."
Preciso de uma questão de matemática sobre análise combinatória.,Preciso de uma questão de matemática sobre análise combinatória.
Quero uma questão de física sobre óptica geométrica.,"Indivíduos míopes têm dificuldade de enxergar objetos distantes. Para correção desse problema com lentes, o oftalmologista deve medir a distância máxima que o indivíduo pode enxergar nitidamente, que corresponde à distância focal da lente. A vergência (V) de uma lente é numericamente igual ao inverso da distância focal (f), dada em metros (V = 1/f). A vergência é medida em dioptria (di), comumente denominada de graus de uma lente.
Se a distância máxima a que o indivíduo míope enxerga nitidamente for 50 cm, para corrigir o problema, o oftalmologista receitará lentes de vergência:
A) 2,00 di.
B) -2,00 di.
C) -0,02 di.
D) 0,20 di.
E) 0,02 di."
Me envie uma questão de história sobre o Império Romano.,"No aniversário do primeiro decênio da Marcha sobre Roma, em outubro de 1932, Mussolini irá inaugurar sua Via dell impero; a nova Via Sacra do Fascismo, ornada com estátuas de César, Augusto, Trajano, servirá ao culto do antigo e à glória do Império Romano e de espaço comemorativo do ufanismo italiano. Às sombras do passado recriado ergue-se a nova Roma, que pode vangloriar-se e celebrar seus imperadores e homens fortes; seus grandes poetas e apólogos como Horácio e Virgílio.
SILVA, G. História antiga e usos do passado: um estudo de apropriações da Antiguidade sob o regime de Vichy. São Paulo: Annablume, 2007 (adaptado).
 A retomada da Antiguidade clássica pela perspectiva do patrimônio cultural foi realizada com o objetivo de:
A) afirmar o ideário cristão para reconquistar a grandeza perdida.
B) utilizar os vestígios restaurados para justificar o regime político.
C) difundir os saberes ancestrais para moralizar os costumes sociais.
D) refazer o urbanismo clássico para favorecer a participação política.
E) recompor a organização republicana para fortalecer a administração estatal."
Gera uma questão de biologia sobre ciclo do carbono.,"Em um sistema hipotético mantido sob iluminação, estão presentes uma célula autotrófica e uma célula heterotrófica. A esse sistema são fornecidos água, glicose e gás oxigênio, sendo esse último na forma de 18O2. Ao final de um período de 24 horas, a análise dos compostos presentes nesse sistema permitirá a detecção do isótopo no(a):
A) gás carbônico produzido no ciclo de Krebs.
B) glicose produzida na fotossíntese.
C) etanol produzido na fermentação.
D) água produzida na respiração.
E) piruvato produzido na glicólise."
Quero uma questão de química sobre reações de oxirredução.,"A presença de substâncias ricas em enxofre, como a pirita (FeS2 ), em áreas de mineração, provoca um dos mais preocupantes impactos causados pela exploração dos recursos naturais da crosta terrestre. Em contato com o oxigênio atmosférico, o sulfeto sofre oxidação em diversas etapas até formar uma solução aquosa conhecida como drenagem ácida de minas, de acordo com a equação química descrita.

4 FeS2 (s) + 15 O2 (g) + 2 H2 O (l) → 2 Fe2 (SO4 )3 (aq) + 2 H2 SO4 (aq) 

 Um dos processos de intervenção nesse problema envolve a reação do resíduo ácido com uma substância básica, de baixa solubilidade em meio aquoso, e sem a geração de subprodutos danosos ao meio ambiente.
FIGUEIREDO, B. R. Minérios e ambientes. Campinas: Unicamp, 2000.

Esse processo de intervenção é representado pela equação química::
A) CaSO4 (s) + H2 SO4 (aq) → Ca2+ (aq) + 2 H+ (aq) + 2 SO4 2− (aq).
B) CaCO3 (s) + H2 SO4 (aq) → CaSO4 (aq) + H2 O (l) + CO2 (g).
C) CaO (s) + H2 SO4 (aq) → CaSO4 (aq) + H2 O (l).
D) Ca(HCO3 ) 2 (s) + 2 H2 O(l) → Ca(OH)2 (aq) + 2 H2 O (l) + 2 CO2 (g).
E) Ca (s) + 2 H2 O (l) → Ca(OH)2 (aq) + H2 (g)."
Me dá uma questão de geografia sobre migração populacional.,"Foi lento o processo de transferência da população para as cidades, pois durante séculos o Brasil foi um país agrário. Foi necessário mais de um século (século XVIII a século XIX) para que a urbanização brasileira atingisse a maturidade; e mais um século para que assumisse as características atuais.
ENDLICH, A. M. Perspectivas sobre o urbano e o rural. In: SPOSITO, M. E. B.; WHITACKER, A. M. (Orgs.). Cidade e campo: relações e contradições entre o urbano e o rural. São Paulo: Expressão Popular, 2006 (adaptado).
 A dinâmica populacional descrita indica a ocorrência do seguinte processo::
A) Êxodo rural.
B) Transumância.
C) Migração intrarregional.
D) Nomadismo.
E) Migração pendular."
Pode gerar uma questão de sociologia sobre cultura e identidade?,"Quanto mais a vida social se torna mediada pelo mercado global de estilos, lugares e imagens, pelas viagens internacionais, pelas imagens da mídia e pelos sistemas de comunicação interligados, mais as identidades se tornam desvinculadas — desalojadas — de tempos, lugares, histórias e tradições específicos e parecem “flutuar livremente”. Somos confrontados por uma gama de diferentes identidades (cada qual nos fazendo apelos, ou melhor, fazendo apelos a diferentes partes de nós), dentre as quais parece possível fazer uma escolha. 
HALL, S. A identidade cultural na pós-modernidade. Rio de Janeiro: DP&A, 2006.

Do ponto de vista conceitual, a transformação identitária descrita resulta na constituição de um sujeito:
A) nacionalista.
B) dependente.
C) multifacetado.
D) territorializado.
E) altruísta."
